dateutc,winddir,windspeedmph,windgustmph,maxdailygust,tempf,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,baromrelin,baromabsin,humidity,tempinf,humidityin,uv,solarradiation,feelsLike,dewPoint,feelsLikein,dewPointin,loc,date
1636084200000,118,0,0,0,67.3,0,0,0,0,0,2.79,29.9,29.06,44,66.7,43,0,0,67.3,44.63,66.7,43.5,ambient-prod-44,2021-11-05T03:50:00.000Z
1636083900000,118,0,0,0,67.3,0,0,0,0,0,2.79,29.89,29.05,44,66.7,43,0,0,67.3,44.63,66.7,43.5,ambient-prod-44,2021-11-05T03:45:00.000Z
1636083600000,118,0,0,0,67.3,0,0,0,0,0,2.79,29.9,29.06,44,66.7,43,0,0,67.3,44.63,66.7,43.5,ambient-prod-44,2021-11-05T03:40:00.000Z
1636083300000,118,0,0,0,67.3,0,0,0,0,0,2.79,29.9,29.06,44,66.9,43,0,0,67.3,44.63,66.9,43.7,ambient-prod-44,2021-11-05T03:35:00.000Z
1636083000000,118,0,0,0,67.5,0,0,0,0,0,2.79,29.9,29.06,43,67.1,43,0,0,67.5,44.21,67.1,43.8,ambient-prod-44,2021-11-05T03:30:00.000Z
1636082700000,118,0,0,0,67.5,0,0,0,0,0,2.79,29.9,29.06,43,66.7,43,0,0,67.5,44.21,66.7,43.5,ambient-prod-44,2021-11-05T03:25:00.000Z
1636082400000,118,0,0,0,67.5,0,0,0,0,0,2.79,29.89,29.05,43,67.1,43,0,0,67.5,44.21,67.1,43.8,ambient-prod-44,2021-11-05T03:20:00.000Z
1636082100000,118,0,0,0,67.5,0,0,0,0,0,2.79,29.9,29.06,43,67.1,43,0,0,67.5,44.21,67.1,43.8,ambient-prod-44,2021-11-05T03:15:00.000Z
1636081800000,118,0,0,0,67.5,0,0,0,0,0,2.79,29.9,29.06,43,67.1,43,0,0,67.5,44.21,67.1,43.8,ambient-prod-44,2021-11-05T03:10:00.000Z
1636081500000,118,0,0,0,67.6,0,0,0,0,0,2.79,29.9,29.06,43,67.1,43,0,0,67.6,44.3,67.1,43.8,ambient-prod-44,2021-11-05T03:05:00.000Z
1636081200000,118,0,0,0,67.6,0,0,0,0,0,2.79,29.89,29.05,43,67.1,43,0,0,67.6,44.3,67.1,43.8,ambient-prod-44,2021-11-05T03:00:00.000Z
1636080900000,118,0,0,0,67.6,0,0,0,0,0,2.79,29.9,29.06,43,67.3,43,0,0,67.6,44.3,67.3,44,ambient-prod-44,2021-11-05T02:55:00.000Z
1636080600000,119,0,0,0,67.6,0,0,0,0,0,2.79,29.91,29.06,43,67.3,43,0,0,67.6,44.3,67.3,44,ambient-prod-44,2021-11-05T02:50:00.000Z
1636080300000,118,0,0,0,67.6,0,0,0,0,0,2.79,29.9,29.06,43,67.3,43,0,0,67.6,44.3,67.3,44,ambient-prod-44,2021-11-05T02:45:00.000Z
1636080000000,118,0,0,0,67.6,0,0,0,0,0,2.79,29.9,29.06,43,67.1,43,0,0,67.6,44.3,67.1,43.8,ambient-prod-44,2021-11-05T02:40:00.000Z
